"","phylum","countgroup","taxon","reads_avg_seq","reads_total_n","perc_reads_human","n_contigs","largest_contig","total_length","GC_perc","N50","N75","L50","L75","busco_perc_C","busco_perc_S","busco_perc_D","busco_perc_F","busco_perc_M","mapped_bases","genome_size_est","co1_length","co1_Class","co1_Order","co1_Species"
"1","Arthropoda","Astigmata","Tyrophagus putrescentiae",124.7,1408075,20.91,449,2134,298800,42.22,623,553,179,307,0,0,0,0,100,19686921,19686921,NA,NA,NA,NA
"2","Arthropoda","Astigmata","Tyrophagus putrescentiae",114.15,3817158,32.33,2978,5173,2159117,42.78,686,570,1096,1963,0.1,0.1,0,0.1,99.8,52218229,52218229,441,"Arachnida","Sarcoptiformes","Tyrophagus putrescentiae"
"3","Arthropoda","Astigmata","Tyrophagus putrescentiae",126.89,6435716,0.94,41125,25890,76381167,46.3,2502,1401,8955,19177,77.7,76.3,1.4,6.7,15.6,777627926,129604654.3,664,"Arachnida","Sarcoptiformes","Tyrophagus putrescentiae"
"4","Arthropoda","Astigmata","Tyrophagus putrescentiae",129.08,10061158,0.79,18376,100676,82696430,45.8,8884,3979,2441,5943,91.3,88.9,2.4,2,6.7,1227972733,111633884.8,665,"Aves","Galliformes","Gallus gallus"
"5","Arthropoda","Astigmata","Tyrophagus putrescentiae",132.25,2919800,2.04,42109,14181,38371866,49.47,933,680,13476,25619,38.5,37.6,0.9,12.6,48.9,326347514,163173757,664,"Arachnida","Sarcoptiformes","Tyrophagus putrescentiae"
"6","Arthropoda","Chilopoda","Lithobius calcaratus",143.73,76143957,0.23,452229,49167,398249148,41.27,881,643,141581,275039,1.2,1,0.2,2.2,96.6,9419214334,4709607167,681,"Chilopoda","Lithobiomorpha","Lithobius calcaratus"
"7","Arthropoda","Chilopoda","Cryptops parisi",144.76,71715095,1.26,45262,184042,321085688,34.41,15344,6816,5489,13354,86.5,85.7,0.8,5.9,7.6,NA,NA,682,"Chilopoda","Scolopendromorpha","Cryptops parisi"
"8","Arthropoda","Chilopoda","Pachymerium ferrugineum",146.45,69382913,0.17,20866,419682,131602344,34.62,28783,8169,1078,3245,91.1,89.4,1.7,2.7,6.2,NA,NA,681,"Insecta","Diptera","Drosophila petalopeza"
"9","Arthropoda","Chilopoda","Strigamia acuminata",145.74,71993768,0.52,26184,308734,125913032,36.82,11095,4569,2395,6889,87,85.3,1.7,5.8,7.2,NA,NA,685,"Chilopoda","Geophilomorpha","Strigamia acuminata"
"10","Arthropoda","Chilopoda","Strigamia transsilvanica",146.76,67014476,0.31,29123,241265,148671165,37.27,13030,5140,2669,7271,87.1,84.9,2.2,3.7,9.2,NA,NA,686,"Chilopoda","Geophilomorpha","Strigamia crassipes"
"11","Arthropoda","Chilopoda","Haplophilus subterraneus",146.9,71681590,0.29,69836,258840,161054304,34.57,4110,1669,8289,23920,70.6,69.6,1,18.4,11,NA,NA,671,"Chilopoda","Geophilomorpha","Stigmatogaster subterranea"
"12","Arthropoda","Chilopoda","Henia vesuviana",145.95,69288056,0.22,87224,525794,198389748,35.71,4136,1630,9845,29436,87.3,86.6,0.7,5.9,6.8,NA,NA,687,"Chilopoda","Geophilomorpha","Geophilus proximus"
"13","Arthropoda","Chilopoda","Lithobius forficatus",146.1,71644796,0.39,511088,34266,683924589,40.12,1568,992,131645,269593,13,12.8,0.2,30.9,56.1,NA,NA,661,"Chilopoda","Lithobiomorpha","Lithobius forficatus"
"14","Arthropoda","Chilopoda","Lithobius microps",145.22,67114096,0.86,525464,51930,626140670,39.76,1333,886,142859,287845,11.8,11.6,0.2,26.6,61.6,NA,NA,659,"Chilopoda","Lithobiomorpha","Lithobius microps"
"15","Arthropoda","Chilopoda","Lithobius nodulipes",145.99,65214388,0.25,552208,31180,557635395,39.41,1065,737,162469,319671,3.7,3.6,0.1,8.8,87.5,NA,NA,683,"Chilopoda","Lithobiomorpha","Lithobius nodulipes"
"16","Arthropoda","Chilopoda","Lithobius agilis",145.48,64558630,0.2,567561,56142,720870342,39.18,1450,950,154464,308905,8.7,8.3,0.4,12.6,78.7,NA,NA,687,"Chilopoda","Lithobiomorpha","Lithobius agilis"
"17","Arthropoda","Chilopoda","Lithobius crassipesoides",144.37,69099023,0.51,429524,33600,486415499,39.34,1241,850,121589,240728,3.9,3.9,0,12.4,83.7,NA,NA,681,"Chilopoda","Lithobiomorpha","Lithobius microps"
"18","Arthropoda","Chilopoda","Lithobius crassipes",143.86,69932822,0.37,406080,38019,582835778,39.8,1706,1061,101932,211184,13.4,13.2,0.2,30.8,55.8,NA,NA,681,"Chilopoda","Lithobiomorpha","Lithobius crassipes"
"19","Arthropoda","Chilopoda","Stenotaenia linearis",146.61,69013805,1.13,44530,292767,158457551,35.56,8434,3071,3637,11641,83.3,81.4,1.9,7.3,9.4,NA,NA,681,"Chilopoda","Geophilomorpha","Stenotaenia linearis"
"20","Arthropoda","Chilopoda","Geophilus carpophagus",147.18,72867221,0.28,41003,194160,155172134,31.69,8146,3324,4329,11901,89.4,86.5,2.9,4.1,6.5,NA,NA,681,"Chilopoda","Geophilomorpha","Geophilus carpophagus"
"21","Arthropoda","Chilopoda","Schendyla nemorensis",116.79,29979909,2.87,200900,24089,181198280,37.14,927,678,65364,122752,9.1,8.8,0.3,31.1,59.8,NA,NA,681,"Chilopoda","Geophilomorpha","Schendyla nemorensis"
"22","Arthropoda","Chilopoda","Geophilus flavus",115.24,26967831,0.74,135070,31223,155570626,35.58,1283,844,37333,74903,31.6,31.4,0.2,38.6,29.8,NA,NA,511,"Chilopoda","Geophilomorpha","Geophilus flavus"
"23","Arthropoda","Chilopoda","Geophilus flavus",132.24,81645865,0.43,62842,141866,193592670,35.4,5835,2406,8026,21156,76.9,76.1,0.8,13.9,9.2,NA,NA,682,"Chilopoda","Geophilomorpha","Geophilus flavus"
"24","Arthropoda","Chilopoda","Schendyla nemorensis",130.67,90958821,0.43,117526,24403,176188876,36.24,1896,1051,25556,57289,18.3,18,0.3,33.3,48.4,11006481347,2751620337,681,"Chilopoda","Geophilomorpha","Schendyla nemorensis"
"25","Arthropoda","Chilopoda","Lithobius mutabilis",122.62,86767242,0.93,236754,54052,225161132,42.27,956,671,67677,138399,4.2,4.1,0.1,8.1,87.7,NA,NA,666,"Chilopoda","Lithobiomorpha","Lithobius mutabilis"
"26","Arthropoda","Chilopoda","Strigamia crassipes",143.26,74741731,0.39,25216,372919,146550795,36.5,13894,5613,2252,6479,86.5,84.8,1.7,6.5,7,10240399763,0,659,"Chilopoda","Geophilomorpha","Geophilus proximus"
"27","Arthropoda","Chilopoda","Strigamia crassipes",143.92,70340720,0.27,49858,263852,160339314,36.36,6301,2633,5588,15547,80.7,79.2,1.5,10,9.3,9726363365,0,681,"Chilopoda","Geophilomorpha","Geophilus flavus"
"28","Arthropoda","Chilopoda","Strigamia crassipes",145.85,68451122,0.44,42448,313983,158517403,37.11,7438,3123,4339,12682,80.2,78.7,1.5,10.1,9.7,9592699591,0,681,"Chilopoda","Geophilomorpha","Strigamia acuminata"
"29","Arthropoda","Chilopoda","Strigamia acuminata",145.05,67098073,0.81,29090,222092,144361465,36.91,11682,4791,2899,7767,86.1,84.4,1.7,4.7,9.2,9233820238,0,681,"Chilopoda","Geophilomorpha","Strigamia acuminata"
"30","Arthropoda","Chilopoda","Strigamia acuminata",146.23,79743592,0.27,74742,84966,154459841,36.71,3303,1504,11418,28914,72.6,71.6,1,17.5,9.9,11158526426,0,681,"Chilopoda","Geophilomorpha","Strigamia acuminata"
"31","Arthropoda","Chilopoda","Strigamia transsilvanica",145.28,69068725,0.2,95808,87502,179742881,37.71,2848,1319,15407,38839,60,58.6,1.4,24.6,15.4,9749184232,0,685,"Chilopoda","Geophilomorpha","Strigamia transsilvanica"
"32","Arthropoda","Chilopoda","Strigamia transsilvanica",145.79,69678444,0.52,50632,98804,131341085,37.12,4711,2045,6808,17405,75.6,74.6,1,13.7,10.7,9780677814,9780677814,492,"Chromadorea","Rhabditida","Pristionchus lheritieri"
"33","Arthropoda","Chilopoda","Geophilus truncorum",146.81,65897647,1.29,27882,158736,142967170,34.44,13504,5380,2683,6895,92.1,90.7,1.4,4,3.9,6405851436,194116710.2,683,"Chilopoda","Geophilomorpha","Strigamia acuminata"
"34","Arthropoda","Collembola","Podura aquatica",119.61,2264220,2.62,12943,16010,9139416,28.61,674,570,4934,8644,0,0,0,0.1,99.9,179462680,89731340,674,"Collembola","Poduromorpha","Podura aquatica"
"35","Arthropoda","Collembola","Folsomia fimetaria",127.97,2118627,0.22,23527,14771,18829040,37.24,762,600,7867,14892,0.6,0.6,0,1,98.4,192788221,96394110.5,491,"Collembola","Entomobryomorpha","Folsomia fimetaria L1"
"36","Arthropoda","Collembola","Pseudisotoma sensibilis",102.49,1982642,1.84,2162,4108,1758634,33.67,796,612,728,1362,0,0,0,0.1,99.9,168498683,168498683,337,"Collembola","Entomobryomorpha","uncultured eukaryote"
"37","Arthropoda","Collembola","Podura aquatica",107.28,4446537,4.58,18969,16118,13469780,29.33,680,572,7224,12654,0.1,0.1,0,0.1,99.8,352980107,176490053.5,674,"Collembola","Poduromorpha","Podura aquatica"
"38","Arthropoda","Collembola","Podura aquatica",109.11,4323966,5.93,20373,16119,14519906,29.33,683,573,7738,13571,0,0,0,0.3,99.7,341543471,170771735.5,674,"Collembola","Poduromorpha","Podura aquatica"
"39","Arthropoda","Collembola","Folsomia fimetaria",111.07,2164960,0.28,11933,8971,8414342,38.36,670,566,4531,7969,0.1,0.1,0,0.9,99,139974695,69987347.5,683,"Collembola","Entomobryomorpha","Folsomia fimetaria L1"
"40","Arthropoda","Collembola","Folsomia fimetaria",111.02,1130872,4.2,3449,10104,2314749,38.94,632,551,1357,2343,0,0,0,0.2,99.8,53773574,26886787,685,"Collembola","Entomobryomorpha","Folsomia fimetaria L1"
"41","Arthropoda","Collembola","Pseudisotoma sensibilis",106.74,3978833,1.93,19732,15321,13631388,34.2,660,564,7685,13295,0.1,0.1,0,0.5,99.4,272985432,136492716,674,"Collembola","Entomobryomorpha","Vertagopus arboreus"
"42","Arthropoda","Collembola","Pseudisotoma sensibilis",111.98,4061995,3.33,22023,8186,16542605,33.03,720,585,7924,14347,0.3,0.3,0,0.6,99.1,316454218,158227109,579,"Collembola","Entomobryomorpha","Isotomidae sp. DPCOL101069"
"43","Arthropoda","Collembola","Deuterosminthurus bicinctus",147.71,70757305,0.29,77250,472600,233739476,40.82,7246,2573,6479,20145,80.5,79.5,1,10.1,9.4,NA,NA,682,"Collembola","Symphypleona","Deuterosminthurus bicinctus"
"44","Arthropoda","Collembola","Deuterosminthurus bicinctus",147.68,67612904,0.29,77101,288033,229937048,40.87,6501,2430,7372,22095,79.9,77.7,2.2,10.2,9.9,NA,NA,664,"Pilidiophora","Heteronemertea","Carinoma sp. BOLD:ACM5178"
"45","Arthropoda","Collembola","Isotomurus unifasciatus",147.32,71980238,0.49,111412,48488,162493100,39.47,2163,907,17742,47564,45.3,44.8,0.5,28.2,26.5,NA,NA,681,"Collembola","Entomobryomorpha","Isotomurus palustris"
"46","Arthropoda","Collembola","Isotomurus pseudopalustris",146.21,70241763,0.05,49437,196207,155314832,38.89,6990,2641,5125,14285,89.7,88.9,0.8,4,6.3,NA,NA,465,"Collembola","Entomobryomorpha","Isotomurus palustris"
"47","Arthropoda","Collembola","Isotoma caerulea",146.27,68988742,0.32,124309,147393,233472586,33.2,2865,1324,19691,50042,78.7,77.8,0.9,13,8.3,9872665540,519613975.8,600,"Collembola","Entomobryomorpha","Isotoma anglicana"
"48","Arthropoda","Collembola","Lepidocyrtus paradoxus",147.88,69848054,0.05,98388,261192,203139002,37.37,3284,1357,9767,34795,72.5,70.6,1.9,16,11.5,NA,NA,678,"Collembola","Entomobryomorpha","Lepidocyrtus paradoxus"
"49","Arthropoda","Collembola","Orchesella flavescens",148.04,69764158,0.04,74419,346656,241752782,35.79,7606,2720,6324,19842,84.6,80.4,4.2,7.7,7.7,NA,NA,479,"Collembola","Entomobryomorpha","Heteromurus nitidus"
"50","Arthropoda","Collembola","Orchesella bifasciata",147.31,70089366,0.06,89772,348138,262139786,36.89,6416,2298,8814,26363,78.8,75.1,3.7,11.3,9.9,NA,NA,681,"Collembola","Entomobryomorpha","Orchesella bifasciata"
"51","Arthropoda","Collembola","Allacma fusca",147.22,71134135,0.35,53265,501303,320331694,36.74,17617,6140,3826,11755,90.8,89.8,1,3.3,5.9,NA,NA,687,"Collembola","Entomobryomorpha","Entomobryomorpha sp. BOLD:ACF5993"
"52","Arthropoda","Collembola","Dicyrtoma fusca",147.32,69027130,0.31,83133,227454,367919098,36.53,10837,4244,7965,21591,86,85,1,7.4,6.6,9948714340,473748301.9,674,"Collembola","Entomobryomorpha","Entomobrya comparata"
"53","Arthropoda","Collembola","Dicyrtomina minuta",147.49,72144948,0.96,182838,163780,489053436,34.83,4823,2098,23943,62641,81.2,80.3,0.9,10,8.8,NA,NA,684,"Collembola","Symphypleona","Dicyrtomina minuta"
"54","Arthropoda","Collembola","Entomobrya muscorum",148.04,91366446,0.01,134627,63066,279862278,35.38,3019,1568,26175,58349,57.9,57.4,0.5,22.1,20,NA,NA,601,"Collembola","Entomobryomorpha","uncultured eukaryote"
