"","total_reads","n_contigs","assembly_length","N50","human_reads","Busco_M","Busco_C","Busco_F","Busco_CF"
"Collembola",6765181,94184,80799012,861,0.290000000000006,83.1,4.7,12.2,16.9
"Collembola",56453,19,14782,797,1.15000000000001,NA,NA,NA,NA
"Nematoda",9486236,38592,37833665,1028,1.63,77.5,15.4,7.1,22.5
"Nematoda",6638854,53498,50048714,969,0.189999999999998,90,5.5,4.5,10
"Oribatida",5332269,16975,15261976,879,1.73,94.3,3,2.7,5.7
"Nematoda",14276,1,550,550,3.16,100,0,0,0
"Oribatida",4726625,42958,41401336,1011,1.73,36.7,49.6,13.7,63.3
"Acari",2919800,42109,38371866,933,2.04000000000001,48.9,38.5,12.6,51.1
"Enchytraeidae",7303,4,2738,767,5.18000000000001,NA,NA,NA,NA
"Enchytraeidae",12413453,65850,50938313,748,1.51000000000001,94.2,0.9,4.9,5.8
"Oribatida",583564,1392,946433,629,5.87,98.4,0.7,0.9,1.6
"Oribatida",988434,4305,2853350,631,6.01000000000001,88,5.7,6.3,12
"Enchytraeidae",6970138,49342,34690130,674,2.04000000000001,98,0.4,1.6,2
"Collembola",5534794,76319,63001481,816,0.469999999999999,81,3.4,15.6,19
"Enchytraeidae",6477304,27989,18680809,628,2.40000000000001,99.1,0.2,0.7,0.9
"Enchytraeidae",6752415,15947,12113188,686,1.67,99.8,0.1,0.1,0.2
"Enchytraeidae",6668403,68343,49348697,700,1.84,98.1,0.2,1.7,1.9
"Acari",6435716,41125,76381167,2502,0.939999999999998,15.6,77.7,6.7,84.4
"Acari",6623920,16009,12007367,647,0.400000000000006,97.9,1.1,1,2.1
"Oribatida",8483066,39498,87516486,3200,1.09,8.9,86.8,4.3,91.1
"Acari",10061158,18376,82696430,8884,0.790000000000006,6.7,91.3,2,93.3
"Enchytraeidae",18485,16,10311,594,2.23999999999999,NA,NA,NA,NA
"Nematoda",3881100,30672,23632261,728,0.170000000000002,91.9,4.5,3.6,8.1
"Oribatida",3525730,36428,27844578,750,0.75,59,26.5,14.5,41
"Oribatida",3418408,17824,13049722,694,1.08,84.5,8.1,7.4,15.5
"Acari",3402689,2248,1929245,832,0.549999999999997,99.9,0.1,0,0.1
"Nematoda",6976829,54140,50895244,978,0.170000000000002,90.1,5.6,4.3,9.9
"Enchytraeidae",52433,45,30666,673,49.83,NA,NA,NA,NA
"Acari",4224473,4319,3640939,785,0.959999999999994,99.8,0.1,0.1,0.2
"Acari",4878020,2677,2315468,852,0.409999999999997,99.9,0.1,0,0.1
"Enchytraeidae",5470647,32469,22370628,652,2.15000000000001,98.4,0.2,1.4,1.6
"Nematoda",5243885,25885,20195828,763,0.239999999999995,90.8,5.5,3.7,9.2
"Enchytraeidae",91735,43,32246,675,52.58,NA,NA,NA,NA
"Oribatida",1807809,4347,4208522,954,1.34,99.9,0,0.1,0.1
"Lumbricina",76508,127,102405,787,7.31999999999999,100,0,0,0
"Oribatida",1856915,14371,10238510,677,0.549999999999997,84.8,7.9,7.3,15.2
"Lumbricina",56564,62,44701,646,32.35,NA,NA,NA,NA
"Lumbricina",262934,640,574142,871,17.17,99.9,0,0.1,0.1
"Lumbricina",8933,6,4155,557,6.62,NA,NA,NA,NA
"Lumbricina",36985,71,52778,690,4.61,NA,NA,NA,NA
"Lumbricina",6226,3,1820,581,16.87,NA,NA,NA,NA
"Nematoda",2386192,77,51727,642,89.07,100,0,0,0
"Lumbricina",9987,7,5352,591,5.88,NA,NA,NA,NA
"Lumbricina",13501262,65827,50710617,727,7.01000000000001,98.6,0.2,1.2,1.4
"Lumbricina",9621012,50855,39165629,719,4.75,99.2,0.3,0.5,0.8
"Lumbricina",9754881,44560,34254144,714,7.16,98.6,0.1,1.3,1.4
"Nematoda",4947441,16671,12527305,696,0.879999999999995,97.8,1,1.2,2.2
"Nematoda",3008459,36680,32995671,922,0.209999999999994,82.7,11.1,6.2,17.3
"Nematoda",102870339,28463,67884566,4881,0.430000000000007,35.5,60.5,4,64.5
"Nematoda",88965886,16834,79174255,10631,56.33,NA,NA,NA,NA
"Oribatida",81526797,64935,129762499,3107,45.41,7.5,89.4,3.1,92.5
"Oribatida",62884194,62807,176593156,5903,10.95,7.7,89,3.3,92.3
"Oribatida",78027043,94955,175696920,3205,6.34,NA,NA,NA,NA
"Oribatida",59005376,72659,186280929,4429,1.53,NA,NA,NA,NA
"Oribatida",85588876,11537,8162874,659,56.95,98.1,0.9,1,1.9
"Collembola",79994245,84952,138956929,2275,15.41,14.1,68.7,17.2,85.9
"Collembola",64382741,167742,264115406,2061,1.64,NA,NA,NA,NA
"Oribatida",83751447,39887,103529549,6000,NA,9,87.4,3.6,91
"Oribatida",67216955,32874,154256886,10257,NA,8.6,88,3.4,91.4
"Oribatida",72044770,63164,116779259,2906,NA,NA,NA,NA,NA
"Oribatida",72668143,178507,258339288,1844,NA,9.8,84.8,5.4,90.2
"Oribatida",64329083,146466,205990164,1765,NA,13.8,75.1,11.1,86.2
"Oribatida",68468420,56773,218893360,6273,NA,11.1,84.7,4.2,88.9
"Oribatida",70611965,32712,107053253,7150,NA,12.8,80.3,6.9,87.2
"Oribatida",66775609,30385,75602633,3998,NA,12,80.3,7.7,88
"Oribatida",68237931,56917,183227768,6622,NA,7.5,88.8,3.7,92.5
"Oribatida",65162509,72063,147378629,3043,NA,8.7,87.8,3.5,91.3
"Oribatida",82097197,63985,91130751,1797,NA,19.4,63,17.6,80.6
"Oribatida",69448093,67819,103010667,2043,NA,12,78.8,9.2,88
"Gamasina",68258310,137858,112262958,777,NA,88.5,2.7,8.8,11.5
"Gamasina",64335354,26367,26288953,1020,NA,94.6,0.6,4.8,5.4
"Gamasina",73166689,176005,181298462,1096,NA,43.3,23,33.7,56.7
"Gamasina",73931351,9515,6672654,654,NA,99.3,0.1,0.6,0.7
"Gamasina",71838134,297942,342693236,1290,NA,42.4,28.8,28.8,57.6
"Gamasina",66323650,296416,415256080,1690,NA,31.4,41.2,27.4,68.6
"Gamasina",89436527,18169,13600038,701,NA,99.3,0,0.7,0.7
"Gamasina",91203099,134700,136896357,1061,NA,NA,NA,NA,NA
"Gamasina",72434891,1463,1089134,703,NA,100,0,0,0
"Gamasina",76305828,43147,168077062,6675,NA,11.7,78.1,10.2,88.3
"Gamasina",67155728,56017,408644983,13560,NA,11.5,82.8,5.7,88.5
"Gamasina",98337822,41174,385494034,20160,NA,9.8,85.9,4.3,90.2
"Gamasina",74369553,324438,407094028,1435,NA,NA,NA,NA,NA
"Chilopoda",74741731,25216,146550795,13894,NA,7,86.5,6.5,93
"Chilopoda",70340720,49858,160339314,6301,NA,9.3,80.7,10,90.7
"Chilopoda",68451122,42448,158517403,7438,NA,9.7,80.2,10.1,90.3
"Chilopoda",67098073,29090,144361465,11682,NA,9.2,86.1,4.7,90.8
"Chilopoda",79743592,74742,154459841,3303,NA,9.9,72.6,17.5,90.1
"Chilopoda",69068725,95808,179742881,2848,NA,15.4,60,24.6,84.6
"Chilopoda",69678444,50632,131341085,4711,NA,NA,NA,NA,NA
"Lumbricidae",71892068,229462,618893238,4074,NA,30.1,32.3,37.6,69.9
"Isopoda",76586464,399279,385942932,1015,NA,96.9,0.9,2.2,3.1
"Diplopoda",68670976,295252,441684841,1880,NA,27.7,37.2,35.1,72.3
"Collembola",66840241,121386,207008106,2325,NA,14,69,17,86
"Collembola",72421176,147110,271479524,2648,NA,15.6,64.6,19.8,84.4
"Collembola",99169309,186268,402532989,3776,NA,19.2,53.1,27.7,80.8
"Collembola",89586484,59177,324835233,13615,NA,5.6,90.1,4.3,94.4
"Collembola",75215381,41872,277624453,19794,NA,5.2,90,4.8,94.8
"Collembola",76757050,151006,163887821,1194,NA,46.8,16.5,36.7,53.2
"Collembola",69170920,90461,152644611,2355,NA,16.9,57.7,25.4,83.1
"Collembola",68877239,69388,179141586,4951,NA,10.3,80.7,9,89.7
"Collembola",75165489,115786,161897747,1761,NA,20.8,44.8,34.4,79.2
"Collembola",84218653,44612,101969318,4198,NA,11.8,73.7,14.5,88.2
