libid	batch	phylum	countgroup	taxon	taxid	sample_number	Reads avg. seq:	Reads max seq:	Reads median seq:	Reads min seq:	Reads N 50:	Reads total n:	Reads total seq:	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	bag	perc_reads_human	busco_lineage	Busco % C	Busco % S	Busco % D	Busco % F	Busco % M	Busco set size	mode_cov_dist	mapped_bases	genome_size_est	co1_Order	co1_Genus	co1_Species
P1_223	b2	Arthropoda	Collembola	Podura aquatica	50589		119.61	150	128	50	148	2264220	270820547	728	16010	575283	34.24	753	610	252	468	bag1	2.62	arthropoda_odb10	0	0	0	0.1	99.9	1013	2	17820857	8910428.5	Poduromorpha	Podura	Podura aquatica
P1_223	b2	Arthropoda	Collembola	Podura aquatica	50589		119.61	150	128	50	148	2264220	270820547	12943	16010	9139416	28.61	674	570	4934	8644	bag2	2.62	arthropoda_odb10	0	0	0	0.1	99.9	1013	2	179462680	89731340	Poduromorpha	Podura	Podura aquatica
P1_223	b2	Arthropoda	Collembola	Podura aquatica	50589		119.61	150	128	50	148	2264220	270820547	13002	16010	9205098	28.72	675	570	4942	8674	bag3	2.62	arthropoda_odb10	0	0	0	0.1	99.9	1013	2	180564262	90282131	Poduromorpha	Podura	Podura aquatica
P1_225	b2						120.93	150	133	50	150	2174946	263011490	600	25159	646828	31.97	1066	696	132	325	bag3	1.71								1	253392035	253392035			
P1_232	b2	Arthropoda	Acari	Hypochthonius rufulus	66581		123.83	150	137	50	150	1316793	163053637	467	6140	429463	33.08	918	678	145	282	bag1	38.98	arachnida_odb10	0.1	0.1	0	0	99.9	2934	2	10354538	5177269	Sarcoptiformes	Hypochthonius	Hypochthonius rufulus
P1_232	b2	Arthropoda	Acari	Hypochthonius rufulus	66581		123.83	150	137	50	150	1316793	163053637	6542	6140	4812835	28.88	698	577	2383	4292	bag2	38.98	arachnida_odb10	0.1	0.1	0	0	99.9	2934	2	104893888	52446944	Sarcoptiformes	Hypochthonius	Hypochthonius rufulus
P1_232	b2	Arthropoda	Acari	Hypochthonius rufulus	66581		123.83	150	137	50	150	1316793	163053637	6629	6653	4907894	29.18	703	577	2397	4337	bag3	38.98	arachnida_odb10	0.2	0.2	0	0	99.8	2934	2	106895910	53447955	Sarcoptiformes	Hypochthonius	Hypochthonius rufulus
P1_241	b2	Arthropoda	Acari	Acrotritia duplicata	1979925		125.49	150	142	50	150	2828416	354925302	830	23857	1091505	37.89	1664	781	130	386	bag1	2.16	arachnida_odb10	0.2	0.2	0	0.1	99.7	2934	2	50909509	25454754.5	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
P1_241	b2	Arthropoda	Acari	Acrotritia duplicata	1979925		125.49	150	142	50	150	2828416	354925302	9128	23857	7432018	34.45	751	588	2851	5681	bag2	2.16	arachnida_odb10	0.3	0.3	0	0.2	99.5	2934	2	256492685	128246342.5	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
P1_241	b2	Arthropoda	Acari	Acrotritia duplicata	1979925		125.49	150	142	50	150	2828416	354925302	9221	23857	7540250	34.49	754	589	2863	5726	bag3	2.16	arachnida_odb10	0.3	0.3	0	0.2	99.5	2934	2	257792568	128896284	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021
P1_246	b2	Arthropoda	Acari	Acrotritia duplicata	1979925		106.17	150	103	50	127	340318	36132936	31	3631	31904	38.4	1124	798	10	18	bag1	3.69	arachnida_odb10	0	0	0	0	100	2934	2	987797	493898.5			
P1_246	b2	Arthropoda	Acari	Acrotritia duplicata	1979925		106.17	150	103	50	127	340318	36132936	339	5149	297728	36.72	886	650	109	208	bag2	3.69	arachnida_odb10	0	0	0	0	100	2934	1	23189865	23189865			
P1_246	b2	Arthropoda	Acari	Acrotritia duplicata	1979925		106.17	150	103	50	127	340318	36132936	373	9040	371114	37.3	1006	690	102	214	bag3	3.69	arachnida_odb10	0	0	0	0	100	2934	1	31286330	31286330			
P1_254	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114		127.97	150	150	50	150	2118627	271115078	3613	14771	3141966	39.58	837	627	1106	2204	bag1	0.22	arthropoda_odb10	0.6	0.6	0	1	98.4	1013	2	27568096	13784048	Entomobryomorpha	Folsomia	Folsomia fimetaria L1
P1_254	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114		127.97	150	150	50	150	2118627	271115078	23527	14771	18829040	37.24	762	600	7867	14892	bag2	0.22	arthropoda_odb10	0.6	0.6	0	1	98.4	1013	2	192788221	96394110.5	Entomobryomorpha	Folsomia	Folsomia fimetaria L1
P1_254	b2	Arthropoda	Collembola	Folsomia fimetaria	1387114		127.97	150	150	50	150	2118627	271115078	23540	14771	18837673	37.24	762	600	7872	14901	bag3	0.22	arthropoda_odb10	0.6	0.6	0	1	98.4	1013	2	192899176	96449588	Entomobryomorpha	Folsomia	Folsomia fimetaria L1
P1_264	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	102.49	150	97	50	119	1982642	203192246	204	4108	209655	37.59	1049	735	57	117	bag1	1.84	arthropoda_odb10	0	0	0	0.1	99.9	1013	2	13916073	6958036.5	Entomobryomorpha	Folsomia	uncultured eukaryote
P1_264	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	102.49	150	97	50	119	1982642	203192246	2162	4108	1758634	33.67	796	612	728	1362	bag2	1.84	arthropoda_odb10	0	0	0	0.1	99.9	1013	1	168498683	168498683	Entomobryomorpha	Folsomia	uncultured eukaryote
P1_264	b2	Arthropoda	Collembola	Pseudisotoma sensibilis	358901	CS-330	102.49	150	97	50	119	1982642	203192246	2208	5314	1827609	33.78	808	616	727	1379	bag3	1.84	arthropoda_odb10	0	0	0	0.1	99.9	1013	1	178615374	178615374	Entomobryomorpha	Folsomia	uncultured eukaryote
P1_266	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144		106.24	150	103	50	124	1247097	132491375	18	2028	18357	44.18	1251	790	6	11	bag1	3.76								1	1180078	1180078	Enchytraeida	Enchytraeus	Enchytraeus sp. Driefontein B
P1_266	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144		106.24	150	103	50	124	1247097	132491375	1549	2957	1129877	35.52	698	576	573	1021	bag2	3.76								1	62614667	62614667	Enchytraeida	Enchytraeus	Enchytraeus sp. Driefontein B
P1_266	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144		106.24	150	103	50	124	1247097	132491375	1632	2957	1209809	35.82	706	582	594	1068	bag3	3.76	metazoa_odb10	0	0	0	0	100	954	1	64029067	64029067	Enchytraeida	Enchytraeus	Enchytraeus sp. Driefontein B
P1_271	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144		125.35	150	142	50	150	2194333	275068088	31	2528	30341	42.67	1179	644	8	18	bag1	2.23	metazoa_odb10	0	0	0	0	100	954	2	6603599	3301799.5	Enchytraeida	Enchytraeus	uncultured eukaryote
P1_271	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144		125.35	150	142	50	150	2194333	275068088	2437	8860	2153839	35.56	878	607	687	1446	bag2	2.23	metazoa_odb10	0	0	0	0	100	954	1	129072378	129072378	Enchytraeida	Enchytraeus	uncultured eukaryote
P1_271	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144		125.35	150	142	50	150	2194333	275068088	2554	8860	2372545	35.75	949	621	678	1473	bag3	2.23	metazoa_odb10	0	0	0	0	100	954	1	132483207	132483207	Enchytraeida	Enchytraeus	uncultured eukaryote
P1_273	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144		125.96	150	149	50	150	1367572	172255381	11	1670	8888	41.48	738	602	4	7	bag1	3.12								1	1124001	1124001	Enchytraeida	Enchytraeus	Enchytraeus albellus
P1_273	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144		125.96	150	149	50	150	1367572	172255381	1560	8241	1419500	34.95	919	625	444	917	bag2	3.12	metazoa_odb10	0	0	0	0	100	954	1	79552401	79552401	Enchytraeida	Enchytraeus	Enchytraeus albellus
P1_273	b2	Annelida	Enchytraeidae	Enchytraeus bigeminus	2717144		125.96	150	149	50	150	1367572	172255381	1653	8241	1567360	35.13	980	642	450	950	bag3	3.12	metazoa_odb10	0	0	0	0	100	954	1	81618506	81618506	Enchytraeida	Enchytraeus	Enchytraeus albellus
P1_281	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390		122.67	150	138	50	150	1843570	226141624	11	8401	26103	35.99	6696	1554	2	4	bag1	2.9	metazoa_odb10	0	0	0	0	100	954	1	1157646	1157646	Enchytraeida	Enchytraeus	Enchytraeus albidus
P1_281	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390		122.67	150	138	50	150	1843570	226141624	2175	8401	2093396	38.94	1000	645	569	1235	bag2	2.9	metazoa_odb10	0.1	0.1	0	0	99.9	954	1	120209713	120209713	Enchytraeida	Enchytraeus	Enchytraeus albidus
P1_281	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390		122.67	150	138	50	150	1843570	226141624	2306	8401	2364624	38.98	1101	670	556	1260	bag3	2.9	metazoa_odb10	0.1	0.1	0	0	99.9	954	1	127158298	127158298	Enchytraeida	Enchytraeus	Enchytraeus albidus
P1_282	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390		125.47	150	150	50	150	2259261	283462846	27	15162	46321	38.59	2056	1533	5	12	bag1	2.03	metazoa_odb10	0	0	0	0	100	954	2	5350071	2675035.5	Enchytraeida	Enchytraeus	Enchytraeus albidus
P1_282	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390		125.47	150	150	50	150	2259261	283462846	3362	15162	3750674	38.07	1239	786	881	1852	bag2	2.03	metazoa_odb10	0	0	0	0	100	954	1	202936518	202936518	Enchytraeida	Enchytraeus	Enchytraeus albidus
P1_282	b2	Annelida	Enchytraeidae	Enchytraeus albidus	6390		125.47	150	150	50	150	2259261	283462846	3531	15162	4127849	38.23	1335	805	876	1893	bag3	2.03								1	214153068	214153068	Enchytraeida	Enchytraeus	Enchytraeus albidus
P1_283	b2	Annelida	Enchytraeidae	Enchytraeus crypticus	913645		120.64	150	132	50	150	1777480	214431338	125	7533	150575	39.41	1282	888	35	70	bag1	7.12	metazoa_odb10	0	0	0	0	100	954	2	17802554	8901277	Enchytraeida	Enchytraeus	Enchytraeus moebii
P1_283	b2	Annelida	Enchytraeidae	Enchytraeus crypticus	913645		120.64	150	132	50	150	1777480	214431338	3534	7533	2913257	38.17	812	603	1141	2195	bag2	7.12	metazoa_odb10	0	0	0	0	100	954	1	116960959	116960959	Enchytraeida	Enchytraeus	Enchytraeus moebii
P1_283	b2	Annelida	Enchytraeidae	Enchytraeus crypticus	913645		120.64	150	132	50	150	1777480	214431338	3654	7533	3090586	38.18	837	609	1142	2240	bag3	7.12	metazoa_odb10	0	0	0	0	100	954	1	120497102	120497102	Enchytraeida	Enchytraeus	Enchytraeus moebii
P1_284	b2	Annelida	Enchytraeidae	Enchytraeus crypticus	913645		118.79	150	127	50	150	1499277	178101796	79	5764	98273	39.39	1473	817	18	40	bag1	8.23	metazoa_odb10	0	0	0	0	100	954	2	12207000	6103500	Enchytraeida	Enchytraeus	Enchytraeus moebii
P1_284	b2	Annelida	Enchytraeidae	Enchytraeus crypticus	913645		118.79	150	127	50	150	1499277	178101796	2068	5764	1630871	37.96	736	573	661	1301	bag2	8.23	metazoa_odb10	0	0	0	0.1	99.9	954	1	79700424	79700424	Enchytraeida	Enchytraeus	Enchytraeus moebii
P1_284	b2	Annelida	Enchytraeidae	Enchytraeus crypticus	913645		118.79	150	127	50	150	1499277	178101796	2154	5764	1779186	38	779	579	645	1322	bag3	8.23	metazoa_odb10	0	0	0	0.1	99.9	954	1	84009661	84009661	Enchytraeida	Enchytraeus	Enchytraeus moebii
P1_287	b2	Arthropoda	Acari	Tyrophagus putrescentiae	59818		127.09	150	150	50	150	2023315	257151579	30	2452	24647	41.23	844	576	10	19	bag2	11.13								1	27488819	27488819			
P1_287	b2	Arthropoda	Acari	Tyrophagus putrescentiae	59818		127.09	150	150	50	150	2023315	257151579	1022	8356	835469	38.89	777	603	334	640	bag3	11.13	arachnida_odb10	0.2	0.2	0	0	99.8	2934	2	248954621	124477310.5			
P1_291	b2	Arthropoda	Acari	Tyrophagus putrescentiae	59818		124.7	150	140	50	150	1408075	175593104	7	774	4379	43.46	613	560	4	5	bag1	20.91	arachnida_odb10	0	0	0	0	100	2934	1	327484	327484			
P1_291	b2	Arthropoda	Acari	Tyrophagus putrescentiae	59818		124.7	150	140	50	150	1408075	175593104	449	2134	298800	42.22	623	553	179	307	bag2	20.91	arachnida_odb10	0	0	0	0	100	2934	1	19686921	19686921			
P1_291	b2	Arthropoda	Acari	Tyrophagus putrescentiae	59818		124.7	150	140	50	150	1408075	175593104	3384	7534	3856713	38.09	1346	836	916	1815	bag3	20.91	arachnida_odb10	2.8	2.7	0.1	0.5	96.7	2934	2	128208380	64104190			
