libid	batch	phylum	countgroup	taxon	taxid	sample_number	locality_number	sample_provider	n_specimens	reads_avg_seq	reads_max_seq	reads_median_seq	reads_min_seq	reads_N_50	reads_total_n	reads_total_seq	perc_reads_human	bag	n_contigs	largest_contig	total_length	GC_perc	N50	N75	L50	L75	busco_lineage	busco_perc_C	busco_perc_S	busco_perc_D	busco_perc_F	busco_perc_M	busco_set_size	mode_cov_dist	mapped_bases	genome_size_est	co1_length	co1_Superkingdom	co1_Kingdom	co1_Phylum	co1_Class	co1_Order	co1_Genus	co1_Species	lineage
P1_223	b2	Arthropoda	Collembola	Podura aquatica	50589					119.61	150	128	50	148	2264220	270820547	2.62	bag1	728	16010	575283	34.24	753	610	252	468	arthropoda_odb10	0	0	0	0.1	99.9	1013	2	17820857	8910428.5	674	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Podura	Podura aquatica	Podura;Poduridae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_287	b2	Arthropoda	Astigmata	Tyrophagus putrescentiae	59818					127.09	150	150	50	150	2023315	257151579	11.13	bag2	30	2452	24647	41.23	844	576	10	19								1	27488819	27488819									Tyrophagus;Tyrophaginae;Acaridae;Acaroidea;Astigmata;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_223	b2	Arthropoda	Collembola	Podura aquatica	50589					119.61	150	128	50	148	2264220	270820547	2.62	bag3	13002	16010	9205098	28.72	675	570	4942	8674	arthropoda_odb10	0	0	0	0.1	99.9	1013	2	180564262	90282131	674	Eukaryota	Metazoa	Arthropoda	Collembola	Poduromorpha	Podura	Podura aquatica	Podura;Poduridae;Poduroidea;Poduromorpha;Collembola;Hexapoda;Pancrustacea;Mandibulata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_225	b2					Control				120.93	150	133	50	150	2174946	263011490	1.71	bag3	600	25159	646828	31.97	1066	696	132	325								1	253392035	253392035									
P1_232	b2	Arthropoda	Oribatida	Hypochthonius rufulus	66581					123.83	150	137	50	150	1316793	163053637	38.98	bag1	467	6140	429463	33.08	918	678	145	282	arachnida_odb10	0.1	0.1	0	0	99.9	2934	2	10354538	5177269	658	Eukaryota	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	Hypochthonius	Hypochthonius rufulus	Hypochthonius;Hypochthoniidae;Hypochthonoidea;Enarthronota;Oribatida;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_291	b2	Arthropoda	Astigmata	Tyrophagus putrescentiae	59818					124.7	150	140	50	150	1408075	175593104	20.91	bag2	449	2134	298800	42.22	623	553	179	307	arachnida_odb10	0	0	0	0	100	2934	1	19686921	19686921									Tyrophagus;Tyrophaginae;Acaridae;Acaroidea;Astigmata;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_232	b2	Arthropoda	Oribatida	Hypochthonius rufulus	66581					123.83	150	137	50	150	1316793	163053637	38.98	bag3	6629	6653	4907894	29.18	703	577	2397	4337	arachnida_odb10	0.2	0.2	0	0	99.8	2934	2	106895910	53447955	658	Eukaryota	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	Hypochthonius	Hypochthonius rufulus	Hypochthonius;Hypochthoniidae;Hypochthonoidea;Enarthronota;Oribatida;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_241	b2	Arthropoda	Oribatida	Acrotritia duplicata	1979925					125.49	150	142	50	150	2828416	354925302	2.16	bag1	830	23857	1091505	37.89	1664	781	130	386	arachnida_odb10	0.2	0.2	0	0.1	99.7	2934	2	50909509	25454754.5	657	Eukaryota	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021	Acrotritia;Euphthiracaridae;Euphthiracaroidea;Mixonomata;Oribatida;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P2_307	b2	Arthropoda	Astigmata	Tyrophagus putrescentiae	59818					114.15	150	117	50	137	3817158	435728556	32.33	bag2	2978	5173	2159117	42.78	686	570	1096	1963	arachnida_odb10	0.1	0.1	0	0.1	99.8	2934	1	52218229	52218229	441	Eukaryota	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	Tyrophagus	Tyrophagus putrescentiae	Tyrophagus;Tyrophaginae;Acaridae;Acaroidea;Astigmata;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
P1_241	b2	Arthropoda	Oribatida	Acrotritia duplicata	1979925					125.49	150	142	50	150	2828416	354925302	2.16	bag3	9221	23857	7540250	34.49	754	589	2863	5726	arachnida_odb10	0.3	0.3	0	0.2	99.5	2934	2	257792568	128896284	657	Eukaryota	Metazoa	Arthropoda	Arachnida	Sarcoptiformes	Euphthiracarus	Euphthiracarus sp. AMUOR021	Acrotritia;Euphthiracaridae;Euphthiracaroidea;Mixonomata;Oribatida;Sarcoptiformes;Acariformes;Acari;Arachnida;Chelicerata;Arthropoda;Panarthropoda;Ecdysozoa;Protostomia;Bilateria;Eumetazoa;Metazoa;Opisthokonta;Eukaryota;cellular organisms;
